num_rows,num_spots,num_cars,assignment_method,seed,timestamp_start,timestamp_end,is_graphable,status_code,status,solver_runtime,wall_runtime,num_vars,num_constraints,time_horizon,has_solution,makespan,avg_wait_time,total_wait_time,max_wait_time,mip_gap
4,8,8,furthest,42,2026-05-18T02:09:50,2026-05-18T02:09:50,True,2,OPTIMAL,0.2400000095367431,0.316786527633667,4189,5536,65,True,13,1.375,11.0,3.0,0.0
4,8,8,nearest,42,2026-05-18T02:09:49,2026-05-18T02:09:50,True,2,OPTIMAL,0.2910001277923584,0.3655183315277099,4189,5536,65,True,16,2.375,19.0,5.0,0.0
4,8,8,random,42,2026-05-18T02:09:49,2026-05-18T02:09:49,True,2,OPTIMAL,0.3380000591278076,0.4334261417388916,4925,6746,68,True,17,2.125,17.0,6.0,0.0
5,12,12,furthest,42,2026-05-18T02:09:53,2026-05-18T02:09:54,True,2,OPTIMAL,0.5580000877380371,0.7504549026489258,8797,11142,81,True,17,2.083333333333333,25.0,4.0,0.0
5,12,12,nearest,42,2026-05-18T02:09:52,2026-05-18T02:09:53,True,2,OPTIMAL,0.996999979019165,1.1494650840759275,8797,11142,81,True,23,3.75,45.0,8.0,0.0
5,12,12,random,42,2026-05-18T02:09:50,2026-05-18T02:09:52,True,2,OPTIMAL,2.0400002002716064,2.261325597763061,10123,13064,84,True,20,2.833333333333333,34.0,8.0,0.0
6,16,16,furthest,42,2026-05-18T02:05:29,2026-05-18T02:05:30,True,2,OPTIMAL,1.3489999771118164,1.6581599712371826,15273,18804,95,True,21,3.0,48.0,7.0,0.0
6,16,16,nearest,42,2026-05-18T02:05:23,2026-05-18T02:05:29,True,2,OPTIMAL,5.378000020980835,5.642510890960693,15273,18804,95,True,30,5.875,94.0,13.0,0.0
6,16,16,random,42,2026-05-18T02:05:17,2026-05-18T02:05:23,True,2,OPTIMAL,5.983000040054321,6.338971853256226,18093,22334,98,True,28,5.0,80.0,13.0,0.0
8,24,24,furthest,42,2026-05-18T02:11:44,2026-05-18T02:12:03,True,2,OPTIMAL,18.032999992370605,18.756312370300293,36997,43844,128,True,29,5.208333333333333,125.0,10.0,0.0
8,24,24,nearest,42,2026-05-18T02:10:56,2026-05-18T02:11:44,True,2,OPTIMAL,46.97300004959106,47.66509628295898,36997,43844,128,True,44,9.125,219.0,19.0,0.0
8,24,24,random,42,2026-05-18T02:09:54,2026-05-18T02:10:56,True,2,OPTIMAL,61.32500004768372,62.112671852111816,38363,46156,131,True,38,6.625,159.0,16.0,0.0
10,32,32,furthest,42,2026-05-18T03:39:36,2026-05-18T03:42:14,True,2,OPTIMAL,153.93099999427795,157.24841928482056,70545,81508,157,True,37,7.03125,225.0,15.0,0.0
10,32,32,nearest,42,2026-05-18T03:26:23,2026-05-18T03:39:36,True,2,OPTIMAL,789.183000087738,792.4383060932159,70545,81508,157,True,58,13.125,420.0,28.0,0.0
10,32,32,random,42,2026-05-18T02:12:03,2026-05-18T03:26:23,True,2,OPTIMAL,4458.491999864578,4459.749901533127,68643,80762,160,True,43,10.0,320.0,27.0,0.0
